nohup: ignoring input
/opt/conda/envs/hncgat/lib/python3.9/site-packages/torch/torch_version.py:3: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import packaging  # type: ignore[attr-defined]
Namespace(gpu=0, n_epochs=1000, lr=0.005, lamb=1, hid_dim=64, dropout=0.5, temperature=0.1, edgetype='concat', use_weighted_loss=True, weight_attention=True, weight_temperature=0.8)
1-th random split with training ratio 0.900000
Epoch 710 | Loss 6.7151 | TrainAUC 0.9884 | testAUC_ROC 0.9715 |  testAUCpr 0.8509 
Epoch 720 | Loss 6.6582 | TrainAUC 0.9887 | testAUC_ROC 0.9720 |  testAUCpr 0.8568 
Epoch 730 | Loss 6.6842 | TrainAUC 0.9886 | testAUC_ROC 0.9715 |  testAUCpr 0.8516 
Epoch 740 | Loss 6.6464 | TrainAUC 0.9890 | testAUC_ROC 0.9728 |  testAUCpr 0.8529 
Epoch 750 | Loss 6.6496 | TrainAUC 0.9887 | testAUC_ROC 0.9734 |  testAUCpr 0.8598 
Epoch 760 | Loss 6.6812 | TrainAUC 0.9887 | testAUC_ROC 0.9726 |  testAUCpr 0.8549 
Epoch 770 | Loss 6.6369 | TrainAUC 0.9891 | testAUC_ROC 0.9726 |  testAUCpr 0.8573 
Epoch 780 | Loss 6.6114 | TrainAUC 0.9895 | testAUC_ROC 0.9739 |  testAUCpr 0.8641 
Epoch 790 | Loss 6.6058 | TrainAUC 0.9893 | testAUC_ROC 0.9737 |  testAUCpr 0.8645 
Epoch 800 | Loss 6.5994 | TrainAUC 0.9898 | testAUC_ROC 0.9735 |  testAUCpr 0.8608 
Epoch 800 - Average weights - PM:0.319, PP:0.183, PF:0.498
Epoch 810 | Loss 6.6185 | TrainAUC 0.9895 | testAUC_ROC 0.9743 |  testAUCpr 0.8641 
Epoch 820 | Loss 6.6098 | TrainAUC 0.9898 | testAUC_ROC 0.9733 |  testAUCpr 0.8646 
Epoch 830 | Loss 6.5973 | TrainAUC 0.9896 | testAUC_ROC 0.9740 |  testAUCpr 0.8654 
Epoch 840 | Loss 6.5665 | TrainAUC 0.9904 | testAUC_ROC 0.9739 |  testAUCpr 0.8627 
Epoch 850 | Loss 6.5629 | TrainAUC 0.9902 | testAUC_ROC 0.9754 |  testAUCpr 0.8722 
Epoch 860 | Loss 6.5875 | TrainAUC 0.9899 | testAUC_ROC 0.9738 |  testAUCpr 0.8656 
Epoch 870 | Loss 6.5666 | TrainAUC 0.9902 | testAUC_ROC 0.9735 |  testAUCpr 0.8635 
Epoch 880 | Loss 6.5238 | TrainAUC 0.9905 | testAUC_ROC 0.9753 |  testAUCpr 0.8690 
Epoch 890 | Loss 6.5316 | TrainAUC 0.9909 | testAUC_ROC 0.9752 |  testAUCpr 0.8710 
Epoch 900 | Loss 6.5466 | TrainAUC 0.9903 | testAUC_ROC 0.9754 |  testAUCpr 0.8718 
Epoch 900 - Average weights - PM:0.322, PP:0.182, PF:0.496
Epoch 910 | Loss 6.5528 | TrainAUC 0.9906 | testAUC_ROC 0.9757 |  testAUCpr 0.8756 
